youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,weapons,location,reference_code,type_of_violation,,notes
yGBgmC2rB2k,"Alleged Russian attacks on oil trucks in west Aleppo
",SMART News Agency - وكالة سمارت للأنباء,"الطائرات الروسية ترتكب مجزرة في قصفها لتجمع شاحنات المازوت في ترمانين غرب حلب
",2016-07-11 09:26:41+00:00,36.2293348,36.8169524,[<Weapon: Cluster Munition>],ALEPPO : Termaneen,CL_1003,Use of illegal weapons,,"قضى 20 مدني بينهم طفل وعنصر من الدفاع المدني وجرح أكثر من 20 آخرين، صباح اليوم، جراء سبع غارات بالقنابل العنقودية نفذتها طائرات روسية على تجمع سيارات نقل المازوت على الطريق الواصل بين قرية ترمانين ودارة عزة بريف حلب بحسب إعلامي مركز الدفاع المدني في الدانا (محمد علاء الدين). الذي أضاف أن "" من بين القتلى مراسل قناة الجزيرة مباشر ""إبراهيم العمر"" والجرحى حالتهم خطرة تم نقلهم إلى المشافي الحدودية وبعضهم إلى الأراضي التركية"". يقول (جمعة زكريا) من شرطة ترمانين الحرة"" في تمام الساعة التاسعة صباحاً شنت الطائرات حوالي سبع غارات بالصواريخ والقنابل العنقودية، وهناك شهداء من سائقي المازوت وعدد كبير من الجرحى"". ومن جانبه (أبو عبد الله) من سرية نزع الألغام في الدانا التابعة لجيش المجاهدين يقول"" جئنا لمؤازرة إخواننا في ترمانين لإزالة القنابل العنقودية التي دمرت الأليات"". ---------------------------- لمزيد من الأخبار يمكنك زيارة : http://smartnews-agency.com/
"
P6bXfWkDlXM,"4 civilian casualties as a result of alleged Russian airstrikes in Bshantara in Aleppo
",SMART News Agency - وكالة سمارت للأنباء,"الطائرات الروسية تقتل أربعة مدنيين في أربع غارات على قرية بشنطرة غرب حلب
",2016-07-10 09:45:48+00:00,36.22094163,37.00092316,[<Weapon: Cluster Munition>],ALEPPO : Bshantara,CL_1004,Use of illegal weapons,,"قضى أربعة مدنيين وأصيب أكثر من عشرين آخرين، جراء أربع غارات بالصواريخ الفراغية والعنقودية شنتها طائرات روسية، على قرية بشنطرة في ريف حلب الغربي بحسب مراسل سمارت. يقول (عبدالله قدور) أحد أهالي القرية"" شنت الطائرات الروسية صباح اليوم غارتين بالصواريخ الفراغية على البلدة، أدت لمقتل مدني وجرح آخرين، وتجدد القصف على نفس المكان، أثناء انتشال الإصابات من تحت الأنقاض، مما أدى لمقتل ثلاثة مدنيين وجرح عشرين مدني على الأقل بعضهم بحالة حرجة تم نقلهم إلى المشافي. ---------------------------- لمزيد من الأخبار يمكنك زيارة : http://smartnews-agency.com/
"
tcbJ1G7N9qQ,"The first moments of cluster bomb attacks in Salaheen in Aleppo
",شبكة حلب نيوز - Halab News Network,"اللحظات الأولى لقصف طيران النظام بالقنابل العنقودية على حيّ الصالحين بحلب 2016/7/9
",2016-07-09 10:20:12+00:00,36.1846821,37.1533611,[<Weapon: Cluster Munition>],ALEPPO : Salaheen,CL_1007,Use of illegal weapons,,
JXDi62BNYz8,"Destruction as a result of cluster bomb attack in Salaheen in Aleppo
",مركز حلب الإعلامي AMC,"آثار القصف بالقنابل العنقودية على حي الصالحين بحلب 9-7-2016
",2016-07-09 10:13:19+00:00,36.1846821,37.1533611,[<Weapon: Cluster Munition>],ALEPPO : Salaheen,CL_1006,Use of illegal weapons,,
,"Cluster bombs attacks in Alshaar in Aleppo
",الدرر الشامية,"استهداف الطيران لحي الشعار بحلب بالقنابل العنقودية
",2016-07-09 10:06:40+00:00,36.2069594,37.1814573,[<Weapon: Cluster Munition>],ALEPPO : Alshaar,CL_1005,Use of illegal weapons,,
fxT30qwLyzs,"Civilian house damaged and burned as a result of cluster bomb attacks in Salaheen in Aleppo
",وكالة ثقة,"وكالة ثقة || إحتراق أحد منازل المدنيين في مدينة كفرحمرة جراء استهدافه بالقنابل العنقودية
",2016-07-07 10:40:56+00:00,36.25408922,37.0907195,[<Weapon: Cluster Munition>],ALEPPO : Kafr hamrah,CL_1008,Use of illegal weapons,,"#وكالة_ثقة #شاهد بالفيديو|| إحتراق أحد منازل المدنيين في مدينة كفرحمرة في ريف حلب الشمالي جراء استهدافه بالقنابل العنقودية https://youtu.be/fxT30qwLyzs
"
-MtaWH5tyI0,"Civilians collecting cluster bombs which targeted their houses in Homs suburbs
",قناة الجسر الفضائية,"مدنيون يقومون بجمع القنابل العنقودية التي استهدفت منازلهم بريف حمص
",2016-07-05 10:50:09+00:00,34.85948005,36.72836084,[<Weapon: Cluster Munition>],HOMS : Talbisah,CL_1009,Use of illegal weapons,,
3kMX4T5cgBE,"Cluster bombs remnants that didn't explode as a result of an alleged Russian strike in Homs suburbs
",,"مخلفات القنابل العنقودية التي لم تنفجر نتيجة استهداف الطيران الحربي الروسي لريف حمص الشمالي
",2016-07-04 22:00:36+00:00,34.8422936,36.7307641,[<Weapon: Cluster Munition>],HOMS : Talbisah,CL_1010,Use of illegal weapons,,
4tkFPALJao0,"The civil defense team checking the location which was taregted by cluster rocket in Jisr ash-Shughur
",الدفاع المدني ادلب,"الدفاع المدني بداما يقوم بتفقد مكان سقوط الصواريخ في الريف الغربي لجسر الشغور بتاريخ 2 /3/ 2016
",2016-07-02 11:09:36+00:00,35.8954978,36.3931354,[<Weapon: Cluster Munition>],IDLIB : Jisr ash-Shughur,CL_1012,Use of illegal weapons,,
PXxA5JPXus0,"Cluster rocket remnants in latamneh
",محمود الحموي,"بقايا الصاروخ العنقودي الذي سقط على مدينة اللطامنة بريف حماة 2 7 2016
",2016-07-02 11:04:59+00:00,35.326759,36.621799,[<Weapon: Cluster Munition>],HAMA : latamneh,CL_1011,Use of illegal weapons,,
